train,train_predict,test,test_predict
162.7,[165.83072],219.1,[221.4746]
169.7,[163.0154],162.1,[166.42236]
166.3,[178.0129],160.6,[159.28178]
172.9,[176.61848],169.3,[172.77893]
183.8,[185.67403],150.3,[163.54575]
188.0,[178.69524],214.9,[207.94926]
198.6,[205.15424],171.0,[164.23009]
162.9,[158.98677],202.4,[206.11156]
185.0,[177.5957],175.8,[175.57834]
159.0,[159.40735],165.6,[157.20389]
210.3,[207.77542],159.5,[160.66295]
191.0,[190.8933],173.5,[170.69688]
201.1,[198.65498],206.0,[203.88957]
173.5,[180.99014],182.6,[183.39993]
191.6,[198.74606],155.5,[153.759]
175.6,[178.61671],172.0,[168.50728]
175.1,[175.98311],205.3,[206.81061]
177.0,[173.34776],167.1,[165.95914]
170.8,[178.64087],167.1,[156.5876]
205.7,[206.4292],155.1,[154.36632]
155.6,[148.30034],162.8,[165.9436]
161.1,[152.7058],166.1,[172.42957]
172.0,[173.15776],145.1,[167.17366]
215.0,[213.21175],,
128.5,[134.8005],,
163.0,[163.98363],,
202.4,[209.1734],,
160.2,[161.92574],,
162.6,[152.4548],,
179.0,[174.07727],,
192.0,[181.9215],,
181.5,[182.00902],,
160.5,[157.75903],,
192.4,[188.11761],,
192.8,[195.26149],,
160.0,[149.27608],,
185.5,[179.37616],,
195.4,[194.26361],,
155.5,[161.8033],,
182.1,[177.92653],,
159.5,[166.33557],,
176.6,[175.75198],,
195.7,[192.71211],,
169.6,[172.54736],,
198.5,[195.09418],,
145.9,[160.9462],,
213.2,[216.90732],,
98.80000000000001,[117.50621],,
185.3,[182.93074],,
190.1,[184.7659],,
173.7,[170.09915],,
177.3,[185.28406],,
165.5,[173.5056],,
211.3,[208.39133],,
175.5,[167.60104],,
166.8,[176.83324],,
181.8,[184.3241],,
185.6,[181.49683],,
194.0,[188.21758],,
144.6,[153.8912],,
222.0,[219.54636],,
179.8,[170.0054],,
174.5,[177.07722],,
183.2,[180.37257],,
170.1,[174.84175],,
181.2,[172.58253],,
194.9,[200.33049],,
186.8,[186.98705],,
160.9,[154.82457],,
153.3,[157.45808],,
199.9,[195.36736],,
177.6,[173.97618],,
184.0,[190.07913],,
167.8,[167.78091],,
184.0,[173.25024],,
171.6,[170.5741],,
163.6,[168.73622],,
168.8,[169.62755],,
166.3,[167.65065],,
177.8,[181.45085],,
167.4,[161.94302],,
184.3,[192.83324],,
155.1,[152.75531],,
147.7,[148.39394],,
159.4,[170.03761],,
230.0,[221.21805],,
170.9,[170.13547],,
169.1,[169.01682],,
193.6,[195.43797],,
176.3,[174.08707],,
170.9,[170.41362],,
164.6,[175.65862],,
167.2,[166.44078],,
165.7,[174.06685],,
189.9,[187.93385],,
153.7,[153.67213],,
158.0,[155.6739],,
181.0,[176.7156],,
165.8,[164.95663],,
206.0,[193.18098],,
172.0,[183.35529],,
158.2,[164.71109],,
190.3,[194.46034],,
167.4,[167.34822],,
203.6,[204.37021],,
184.2,[178.13478],,
149.3,[160.84787],,
211.3,[211.64679],,
213.5,[218.02423],,
192.5,[188.31906],,
168.1,[167.9371],,
166.8,[167.09439],,
132.0,[113.104294],,
176.7,[180.43242],,
207.8,[208.17659],,
171.6,[164.91675],,
165.9,[168.42172],,
166.4,[169.01863],,
161.9,[155.32599],,
151.9,[150.81264],,
186.0,[192.83565],,
179.5,[179.99144],,
200.5,[200.47542],,
165.4,[164.67932],,
191.9,[190.84723],,
204.7,[210.9301],,
213.0,[210.9516],,
173.5,[162.97346],,
156.5,[161.50548],,
189.3,[183.16899],,
175.0,[172.97643],,
158.2,[157.70007],,
152.7,[152.2669],,
189.1,[183.89934],,
154.9,[166.01909],,
168.8,[166.39574],,
175.9,[180.2331],,
211.0,[193.08055],,
209.1,[206.02997],,
172.7,[171.85196],,
161.6,[162.7777],,
182.1,[177.39919],,
191.0,[193.65009],,
166.0,[167.34258],,
215.1,[212.84976],,
174.4,[173.89993],,
180.4,[171.18121],,
170.9,[172.5539],,
186.1,[188.08513],,
176.4,[167.01857],,
193.9,[200.65372],,
218.2,[220.5542],,
170.7,[175.85759],,
154.7,[168.87999],,
161.5,[156.32971],,
182.2,[180.94284],,
177.1,[175.13506],,
126.0,[123.70389],,
183.5,[182.58849],,
200.2,[197.7683],,
165.8,[159.62941],,
178.3,[169.21272],,
185.4,[182.77287],,
191.7,[189.6875],,
194.4,[199.4564],,
162.9,[169.76172],,
192.4,[198.68582],,
169.8,[167.65327],,
182.0,[176.78946],,
167.7,[165.58769],,
211.7,[202.33173],,
167.5,[161.50641],,
215.3,[203.48695],,
195.0,[201.04492],,
188.8,[184.47543],,
197.6,[197.13159],,
179.8,[186.9476],,
178.1,[172.64343],,
153.3,[152.56227],,
177.3,[175.17198],,
167.0,[161.68027],,
184.0,[172.38063],,
220.5,[221.21805],,
167.5,[155.52824],,
190.0,[194.04706],,
153.5,[165.1545],,
202.0,[204.53996],,
156.5,[168.05054],,
168.4,[165.8049],,
180.8,[174.80339],,
153.2,[154.18857],,
201.5,[199.42494],,
156.7,[154.16916],,
169.0,[164.14043],,
211.2,[210.72897],,
177.9,[178.1353],,
42.0,[96.47312],,
203.1,[209.33574],,
159.9,[155.24265],,
198.4,[204.15446],,
154.6,[154.28856],,
175.6,[179.16795],,
212.9,[211.9421],,
179.0,[173.99617],,
207.7,[211.26443],,
163.0,[160.70549],,
186.5,[174.97725],,
175.2,[171.34712],,
212.8,[208.6698],,
169.4,[167.91164],,
149.2,[159.53906],,
212.7,[203.71404],,
168.0,[161.26236],,
217.5,[214.28163],,
200.7,[194.24995],,
204.2,[205.56642],,
222.4,[218.4246],,
159.7,[158.89558],,
168.2,[171.34625],,
200.5,[196.98726],,
177.2,[176.97734],,
159.0,[172.57193],,
181.6,[172.66864],,
180.0,[171.24998],,
155.7,[152.07329],,
160.6,[164.46956],,
198.4,[194.42418],,
180.4,[178.29233],,
178.2,[176.74359],,
166.2,[173.69946],,
192.1,[188.4685],,
163.2,[156.8159],,
183.2,[188.36911],,
187.3,[182.36351],,
176.1,[174.87303],,
189.2,[196.80972],,
165.3,[161.39522],,
184.3,[177.05902],,
155.2,[166.04407],,
167.9,[166.3951],,
189.0,[186.05766],,
200.4,[199.27023],,
199.4,[210.43376],,
148.0,[154.0147],,
195.6,[180.98877],,
170.7,[169.42476],,
186.7,[195.41933],,
183.8,[180.46875],,
174.0,[171.48923],,
183.2,[188.66734],,
166.8,[158.10588],,
214.0,[212.58472],,
169.9,[168.85898],,
174.2,[166.06032],,
184.7,[181.48862],,
187.6,[187.57555],,
188.7,[189.17378],,
188.9,[182.86002],,
204.1,[204.77435],,
195.4,[193.897],,
167.6,[168.898],,
177.4,[180.24397],,
206.1,[201.53561],,
154.6,[153.9587],,
157.9,[166.64859],,
156.5,[155.74709],,
167.8,[160.65886],,
187.6,[184.8186],,
176.8,[178.01538],,
196.7,[191.06189],,
225.0,[208.11433],,
178.2,[179.89178],,
184.5,[184.13837],,
163.4,[164.39847],,
203.0,[202.70058],,
182.2,[175.7707],,
157.2,[155.88788],,
198.2,[194.282],,
207.7,[211.58165],,
180.6,[180.15451],,
182.6,[178.60376],,
178.2,[173.85565],,
173.7,[171.64566],,
193.4,[191.10327],,
163.8,[159.58186],,
173.2,[172.51991],,
179.3,[177.1591],,
183.0,[184.94821],,
173.0,[170.56775],,
180.6,[175.20691],,
181.3,[179.04216],,
246.6,[227.71292],,
189.1,[172.36462],,
177.8,[181.92697],,
176.0,[175.94531],,
184.2,[180.37997],,
200.3,[211.30896],,
182.5,[177.44328],,
189.6,[184.0866],,
178.5,[182.3646],,
168.9,[173.71872],,
157.6,[154.13713],,
181.6,[181.8851],,
202.9,[203.95898],,
187.0,[182.5436],,
215.0,[211.15208],,
182.0,[182.29277],,
204.4,[203.01042],,
177.1,[170.48204],,
157.5,[158.37857],,
169.8,[162.93105],,
152.3,[166.96019],,
165.6,[156.82373],,
220.1,[215.22192],,
165.0,[168.74081],,
155.7,[160.10431],,
177.2,[175.726],,
218.3,[221.1882],,
166.9,[163.16403],,
160.0,[157.45372],,
156.4,[163.01376],,
174.3,[166.15347],,
192.4,[196.72609],,
197.6,[196.07013],,
191.3,[188.86388],,
170.3,[169.38676],,
161.7,[158.53929],,
188.6,[186.03546],,
172.5,[170.08923],,
175.8,[185.15718],,
198.4,[204.37021],,
185.2,[180.62703],,
186.0,[183.0494],,
168.6,[168.59738],,
174.5,[168.973],,
174.4,[176.73225],,
163.9,[162.7454],,
161.1,[163.70673],,
172.2,[177.48796],,
163.6,[166.72556],,
149.3,[165.11627],,
167.1,[150.61981],,
146.9,[153.03578],,
181.4,[189.41771],,
200.4,[200.7595],,
175.0,[167.69666],,
140.2,[152.35803],,
189.8,[193.38403],,
181.4,[177.43002],,
179.6,[181.86972],,
114.0,[109.092865],,
220.2,[215.82236],,
206.7,[200.76907],,
163.0,[163.72078],,
203.1,[204.29216],,
166.1,[159.67218],,
163.8,[156.59001],,
175.4,[176.04282],,
190.8,[197.81073],,
156.8,[170.07019],,
206.0,[190.61757],,
208.5,[204.74458],,
176.4,[178.37141],,
166.7,[162.15694],,
174.4,[178.81592],,
186.8,[184.72127],,
202.8,[202.71742],,
186.1,[178.2435],,
205.7,[206.7655],,
170.9,[179.53061],,
215.0,[210.66692],,
185.2,[183.30396],,
245.0,[228.88458],,
202.6,[200.75496],,
179.0,[179.80467],,
183.9,[179.29457],,
183.8,[185.29883],,
199.5,[202.27156],,
174.0,[173.91328],,
175.0,[169.07956],,
155.5,[158.165],,
157.1,[162.47833],,
181.9,[181.24586],,
155.5,[162.88835],,
171.5,[173.28725],,
216.7,[211.49377],,
165.2,[177.61876],,
218.1,[213.22542],,
173.1,[168.80835],,
171.2,[173.92639],,
161.7,[157.05019],,
213.9,[214.56541],,
170.0,[181.17511],,
200.0,[186.29071],,
198.0,[199.7708],,
205.5,[207.42052],,
166.8,[162.77586],,
183.1,[177.62448],,
150.1,[148.73975],,
163.7,[165.92969],,
171.9,[177.81638],,
178.3,[176.49864],,
176.7,[176.24988],,
